Rk,Player,Team,Conf,G,Receiving_Rec,Receiving_Yds,Receiving_Yards_Per_Rec,Receiving_TD,Receiving_Yards_Per_Game,Rushing_Att,Rushing_Yds,Rushing_Yards_Per_Att,Rushing_TD,Rushing_Yards_Per_Game,Scrimmage_Plays,Scrimmage_Yds,Scrimmage_Yards_Per_Play,Scrimmage_TD,Awards
1388,Seth Porter*,Kansas State,Big 12,13,3,38,12.7,1,2.9,0,0,,0,0,3,38,12.7,1,
1389,Tyson Riley,Army,Ind,12,5,38,7.6,3,3.2,15,119,7.9,1,9.9,20,157,7.9,4,
1390,Zakhari Franklin*,Ole Miss,SEC,4,4,38,9.5,1,9.5,0,0,,0,0,4,38,9.5,1,
1391,Antwane Wells Jr.,South Carolina,SEC,3,3,37,12.3,1,12.3,0,0,,0,0,3,37,12.3,1,
1392,DeAngelo Irvin Jr.*,Nevada-Las Vegas,MWC,7,3,37,12.3,0,5.3,2,20,10,0,2.9,5,57,11.4,0,
1393,Ethan Hall,Tulsa,American,12,7,37,5.3,0,3.1,0,0,,0,0,7,37,5.3,0,
1394,Hayden Junker,Kent State,MAC,12,3,37,12.3,1,3.1,0,0,,0,0,3,37,12.3,1,
1395,Jaren Mangham,Michigan State,Big Ten,6,7,37,5.3,0,6.2,30,81,2.7,0,13.5,37,118,3.2,0,
1396,Jaylon Tillman*,Bowling Green,MAC,13,2,37,18.5,1,2.8,0,0,,0,0,2,37,18.5,1,
1397,Lee Witherspoon,UAB,American,12,6,37,6.2,0,3.1,17,52,3.1,0,4.3,23,89,3.9,0,
1398,Rashad Amos*,Miami (OH),MAC,14,6,37,6.2,0,2.6,210,1075,5.1,13,76.8,216,1112,5.1,13,
1399,Andre Johnson,Arizona State,Pac-12,9,4,36,9,0,4,0,0,,0,0,4,36,9,0,
1400,Byrum Brown*,South Florida,American,13,2,36,18,0,2.8,203,809,4,11,62.2,205,845,4.1,11,
1401,Errol Rogers Jr.*,Liberty,CUSA,7,1,36,36,0,5.1,0,0,,0,0,1,36,36,0,
1402,Isaiah Johnson,North Texas,American,7,9,36,4,0,5.1,37,229,6.2,3,32.7,46,265,5.8,3,
1403,Jontavis Robertson*,Duke,ACC,13,4,36,9,0,2.8,0,0,,0,0,4,36,9,0,
1404,K'wan Powell*,South Florida,American,9,6,36,6,0,4,61,215,3.5,1,23.9,67,251,3.7,1,
1405,Ray Ray Joseph*,Miami (FL),ACC,10,6,36,6,0,3.6,0,0,,0,0,6,36,6,0,
1406,Trent Whittemore*,UCF,Big 12,13,3,36,12,0,2.8,0,0,,0,0,3,36,12,0,
1407,Ty Hahn,Nebraska,Big Ten,12,4,36,9,0,3,0,0,,0,0,4,36,9,0,
1408,Tyler Batty,BYU,Big 12,12,1,36,36,0,3,0,0,,0,0,1,36,36,0,
1409,Winston Wright*,Florida State,ACC,5,4,36,9,0,7.2,0,0,,0,0,4,36,9,0,
1410,Anderson Castle*,Appalachian State,Sun Belt,6,5,35,7,0,5.8,53,283,5.3,2,47.2,58,318,5.5,2,
1411,Anthony Evans III*,Georgia,SEC,8,4,35,8.8,1,4.4,1,2,2,0,0.3,5,37,7.4,1,
1412,Bryan Robinson*,Marshall,Sun Belt,6,5,35,7,0,5.8,0,0,,0,0,5,35,7,0,
1413,Cameron Bonner,Baylor,Big 12,10,4,35,8.8,0,3.5,0,0,,0,0,4,35,8.8,0,
1414,Demond Claiborne,Wake Forest,ACC,10,3,35,11.7,0,3.5,137,586,4.3,5,58.6,140,621,4.4,5,
1415,Djay Braswell,South Carolina,SEC,6,3,35,11.7,0,5.8,12,25,2.1,0,4.2,15,60,4,0,
1416,Kahlil Brantley,Florida Atlantic,American,11,5,35,7,1,3.2,0,0,,0,0,5,35,7,1,
1417,Kenny Brewer III,Central Michigan,MAC,12,3,35,11.7,0,2.9,0,0,,0,0,3,35,11.7,0,
1418,Kyi Wright*,James Madison,Sun Belt,13,4,35,8.8,0,2.7,0,0,,0,0,4,35,8.8,0,
1419,Kylish Hicks,Connecticut,Ind,6,3,35,11.7,1,5.8,0,0,,0,0,3,35,11.7,1,
1420,Levi Gazarek*,Bowling Green,MAC,13,6,35,5.8,0,2.7,0,0,,0,0,6,35,5.8,0,
1421,Mike Franklin,UTEP,CUSA,8,4,35,8.8,0,4.4,45,180,4,3,22.5,49,215,4.4,3,
1422,Mike Washington,Buffalo,MAC,11,13,35,2.7,0,3.2,90,362,4,2,32.9,103,397,3.9,2,
1423,Tate Carney,Wake Forest,ACC,12,3,35,11.7,0,2.9,49,244,5,4,20.3,52,279,5.4,4,
1424,Zachary Card*,Oregon State,Pac-12,4,5,35,7,0,8.8,0,0,,0,0,5,35,7,0,
1425,Brendan Doyle*,Memphis,American,13,7,34,4.9,4,2.6,0,0,,0,0,7,34,4.9,4,
1426,Devyn Ford*,Notre Dame,Ind,11,4,34,8.5,1,3.1,8,44,5.5,0,4,12,78,6.5,1,
1427,Keyan Burnett*,Arizona,Pac-12,13,3,34,11.3,0,2.6,0,0,,0,0,3,34,11.3,0,
1428,Marlon Gunn Jr.,East Carolina,American,11,5,34,6.8,0,3.1,24,65,2.7,0,5.9,29,99,3.4,0,
1429,Mike Hollins,Virginia,ACC,11,10,34,3.4,1,3.1,80,274,3.4,7,24.9,90,308,3.4,8,
1430,Reginald Virgil*,Miami (OH),MAC,12,1,34,34,1,2.8,0,0,,0,0,1,34,34,1,
1431,Terry Lockett Jr.*,Eastern Michigan,MAC,7,3,34,11.3,0,4.9,1,6,6,0,0.9,4,40,10,0,
1432,Tristen Tewes*,Northern Illinois,MAC,12,3,34,11.3,0,2.8,0,0,,0,0,3,34,11.3,0,
1433,Aidan Robbins,BYU,Big 12,8,7,33,4.7,0,4.1,101,485,4.8,1,60.6,108,518,4.8,1,
1434,Bralon Brown*,Ole Miss,SEC,4,2,33,16.5,0,8.3,0,0,,0,0,2,33,16.5,0,
1435,Caleb Komolafe*,Northwestern,Big Ten,4,5,33,6.6,1,8.3,4,9,2.3,0,2.3,9,42,4.7,1,
1436,Darrius Clemons*,Michigan,Big Ten,11,3,33,11,0,3,0,0,,0,0,3,33,11,0,
1437,Ethan Davis*,Tennessee,SEC,3,2,33,16.5,0,11,0,0,,0,0,2,33,16.5,0,
1438,Jordan McDonald*,UCF,Big 12,11,1,33,33,0,3,18,56,3.1,3,5.1,19,89,4.7,3,
1439,Louis Hansen,Connecticut,Ind,11,2,33,16.5,0,3,0,0,,0,0,2,33,16.5,0,
1440,LV Bunkley-Shelton*,Oklahoma,Big 12,12,3,33,11,0,2.8,0,0,,0,0,3,33,11,0,
1441,Quinton Jackson*,Rice,American,13,6,33,5.5,0,2.5,7,25,3.6,0,1.9,13,58,4.5,0,
1442,Robbie Ouzts*,Alabama,SEC,14,3,33,11,1,2.4,0,0,,0,0,3,33,11,1,
1443,Zion Carter,Buffalo,MAC,9,4,33,8.3,0,3.7,0,0,,0,0,4,33,8.3,0,
1444,Carson Tabaracci*,USC,Pac-12,12,1,32,32,0,2.7,0,0,,0,0,1,32,32,0,
1445,Cedric Hawkins*,Arkansas State,Sun Belt,8,2,32,16,0,4,31,156,5,2,19.5,33,188,5.7,2,
1446,Chris Scott,Cincinnati,Big 12,6,2,32,16,0,5.3,0,0,,0,0,2,32,16,0,
1447,CJ Johnson II*,Northwestern,Big Ten,12,4,32,8,0,2.7,0,0,,0,0,4,32,8,0,
1448,Djouvensky Schlenbaker,Washington State,Pac-12,12,5,32,6.4,1,2.7,33,146,4.4,0,12.2,38,178,4.7,1,
1449,Ezell Jolly,UTEP,CUSA,4,5,32,6.4,0,8,15,53,3.5,0,13.3,20,85,4.3,0,
1450,Frederick Moore*,Michigan,Big Ten,13,4,32,8,0,2.5,0,0,,0,0,4,32,8,0,
