Rk,Player,Team,Conf,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards
271,Michael Buckley*,New Mexico,MWC,6,1,2,50,41,1,50,0,0,20.5,30.5,41,6.8,387.2,
272,DJ McKinney*,New Mexico,MWC,13,1,3,33.3,9,1,33.3,0,0,3,9.67,9,0.7,168.5,
273,Jaden Bradley*,Nevada-Las Vegas,MWC,14,1,1,100,16,1,100,0,0,16,36,16,1.1,564.4,
274,AJ Bianco,Nevada,MWC,10,27,45,60,188,1,2.2,1,2.2,4.2,3.62,7,18.8,98,
275,Max Shikenjanski*,Minnesota,Big Ten,2,4,5,80,80,1,20,0,0,16,20,20,40,280.4,
276,AJ Hill*,Memphis,American,2,19,32,59.4,223,1,3.1,1,3.1,7,6.19,11.7,111.5,122,
277,Brandon Rose,Massachusetts,MAC,6,52,88,59.1,424,1,1.1,3,3.4,4.8,3.51,8.2,70.7,96.5,
278,Khristian Martin,Maryland,Big Ten,5,11,17,64.7,105,1,5.9,0,0,6.2,7.35,9.5,21,136,
279,Zion Turner,Marshall,Sun Belt,5,40,59,67.8,409,1,1.7,1,1.7,6.9,6.51,10.2,81.8,128.2,
280,Brady Allen*,Louisville,ACC,5,8,12,66.7,75,1,8.3,2,16.7,6.3,0.42,9.4,15,113.3,
281,Caullin Lacy*,Louisville,ACC,13,1,1,100,2,1,100,0,0,2,22,2,0.2,446.8,
282,Hunter Herring,Louisiana-Monroe,Sun Belt,10,5,10,50,111,1,10,2,20,11.1,4.1,22.2,11.1,136.2,
283,Daniel Beale*,Louisiana,Sun Belt,6,42,84,50,395,1,1.2,4,4.8,4.7,2.8,9.4,65.8,83.9,
284,Michael Merdinger,Liberty,CUSA,5,21,41,51.2,350,1,2.4,0,0,8.5,9.02,16.7,70,131,
285,CJ Montes,Kent State,MAC,2,10,19,52.6,140,1,5.3,1,5.3,7.4,6.05,14,70,121.4,
286,Da'Realyst Clark,Kent State,MAC,12,2,2,100,39,1,50,0,0,19.5,29.5,19.5,3.3,428.8,
287,Christian Moss*,Kennesaw State,CUSA,14,1,1,100,13,1,100,0,0,13,33,13,0.9,539.2,
288,Cole Ballard,Kansas,Big 12,8,10,22,45.5,108,1,4.5,1,4.5,4.9,3.77,10.8,13.5,92.6,
289,Hank Brown*,Iowa,Big Ten,3,11,21,52.4,107,1,4.8,1,4.8,5.1,3.9,9.7,35.7,101.4,
290,Reece Vander Zee*,Iowa,Big Ten,8,1,1,100,5,1,100,0,0,5,25,5,0.6,472,
291,Hank Beatty*,Illinois,Big Ten,13,2,3,66.7,31,1,33.3,0,0,10.3,17,15.5,2.4,263.5,
292,Zeon Chriss*,Houston,Big 12,6,10,21,47.6,108,1,4.8,1,4.8,5.1,3.95,10.8,18,97,
293,Aaron Philo*,Georgia Tech,ACC,3,21,28,75,373,1,3.6,1,3.6,13.3,12.43,17.8,124.3,191.5,
294,Graham Knowles*,Georgia Tech,ACC,1,1,1,100,84,1,100,0,0,84,104,84,84,1135.6,
295,Turner Helton*,Georgia Southern,Sun Belt,3,14,26,53.8,74,1,3.8,0,0,2.8,3.62,5.3,24.7,90.4,
296,Ryan Puglisi,Georgia,SEC,7,16,27,59.3,161,1,3.7,2,7.4,6,3.37,10.1,23,106.8,
297,Carson Conklin*,Fresno State,MWC,6,47,96,49,354,1,1,2,2.1,3.7,2.96,7.5,59,79.2,
298,Randy Pittman Jr.,Florida State,ACC,9,1,1,100,4,1,100,0,0,4,24,4,0.4,463.6,
299,Easton Messer,Florida Atlantic,American,12,2,2,100,55,1,50,0,0,27.5,37.5,27.5,4.6,496,
