Rk,Player,Team,Conf,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards
14,Clayton Tune*,Houston,American,14,287,421,68.2,3546,30,7.1,10,2.4,8.4,8.78,12.4,253.3,157.7,
15,Grant Wells*,Marshall,CUSA,13,295,445,66.3,3532,16,3.6,13,2.9,7.9,7.34,12,271.7,139,
16,Devin Leary,North Carolina State,ACC,12,283,431,65.7,3433,35,8.1,5,1.2,8,9.07,12.1,286.1,157,
17,Matt Corral*,Ole Miss,SEC,13,262,386,67.9,3349,20,5.2,5,1.3,8.7,9.13,12.8,257.6,155.3,H-7
18,Chase Brice*,Appalachian State,Sun Belt,14,242,390,62.1,3337,27,6.9,11,2.8,8.6,8.67,13.8,238.4,151.1,
19,Desmond Ridder*,Cincinnati,American,14,251,387,64.9,3334,30,7.8,8,2.1,8.6,9.24,13.3,238.1,158.7,H-8
20,Seth Henigan,Memphis,American,11,235,393,59.8,3322,25,6.4,8,2,8.5,8.81,14.1,302,147.7,
21,Kaleb Eleby*,Western Michigan,MAC,13,230,363,63.4,3277,23,6.3,6,1.7,9,9.55,14.2,252.1,156.8,
22,Davis Brin*,Tulsa,American,13,244,411,59.4,3244,18,4.4,16,3.9,7.9,7.02,13.3,249.5,132.3,
23,Payton Thorne*,Michigan State,Big Ten,13,234,388,60.3,3232,27,7,10,2.6,8.3,8.56,13.8,248.6,148.1,
24,Gavin Hardison*,UTEP,CUSA,13,198,357,55.5,3217,18,5,13,3.6,9,8.38,16.2,247.5,140.5,
25,Dustin Crum*,Kent State,MAC,14,244,381,64,3206,20,5.2,6,1.6,8.4,8.76,13.1,229,148.9,
26,Brock Purdy*,Iowa State,Big 12,13,292,407,71.7,3188,19,4.7,8,2,7.8,7.88,10.9,245.2,149,
27,Frank Harris*,UTSA,CUSA,14,263,399,65.9,3177,27,6.8,6,1.5,8,8.64,12.1,226.9,152.1,
28,Jack Coan*,Notre Dame,Ind,13,253,386,65.5,3150,25,6.5,7,1.8,8.2,8.64,12.5,242.3,151.8,
29,Holton Ahlers,East Carolina,American,12,256,414,61.8,3126,18,4.3,10,2.4,7.6,7.33,12.2,260.5,134.8,
30,Ben Bryant*,Eastern Michigan,MAC,13,279,408,68.4,3121,14,3.4,7,1.7,7.6,7.56,11.2,240.1,140.5,
31,Sean Clifford*,Penn State,Big Ten,13,261,428,61,3107,21,4.9,8,1.9,7.3,7.4,11.9,239,134.4,
32,Hank Bachmeier,Boise State,MWC,12,252,401,62.8,3079,20,5,8,2,7.7,7.78,12.2,256.6,139.8,
33,Sam Howell*,North Carolina,ACC,12,217,347,62.5,3056,24,6.9,9,2.6,8.8,9.02,14.1,254.7,154.2,
34,Jarret Doege*,West Virginia,Big 12,13,272,417,65.2,3048,19,4.6,12,2.9,7.3,6.93,11.2,234.5,135.9,
35,Anthony Brown*,Oregon,Pac-12,14,250,390,64.1,2989,18,4.6,7,1.8,7.7,7.78,12,213.5,140.1,
36,Todd Centeio,Colorado State,MWC,12,229,380,60.3,2958,15,3.9,10,2.6,7.8,7.39,12.9,246.5,133.4,
37,Hendon Hooker*,Tennessee,SEC,13,206,303,68,2945,31,10.2,3,1,9.7,11.32,14.3,226.5,181.4,
38,Malik Cunningham*,Louisville,ACC,13,209,337,62,2941,19,5.6,6,1.8,8.7,9.05,14.1,226.2,150.4,
39,Max Bortenschlager,Florida International,CUSA,12,178,342,52,2935,19,5.6,12,3.5,8.6,8.11,16.5,244.6,135.5,
40,Tyler Van Dyke,Miami (FL),ACC,10,202,324,62.3,2931,25,7.7,6,1.9,9,9.76,14.5,293.1,160.1,
41,Levi Lewis*,Louisiana,Sun Belt,14,236,391,60.4,2917,20,5.1,4,1,7.5,8.02,12.4,208.4,137.9,
42,Grayson McCall*,Coastal Carolina,Sun Belt,11,176,241,73,2873,27,11.2,3,1.2,11.9,13.6,16.3,261.2,207.6,
43,Adrian Martinez,Nebraska,Big Ten,11,189,306,61.8,2863,14,4.6,10,3.3,9.4,8.8,15.1,260.3,148.9,
44,Malik Willis*,Liberty,Ind,13,207,339,61.1,2862,27,8,12,3.5,8.4,8.44,13.8,220.2,151.2,
45,Stetson Bennett*,Georgia,SEC,14,185,287,64.5,2862,29,10.1,7,2.4,10,10.9,15.5,204.4,176.7,
46,Spencer Sanders*,Oklahoma State,Big 12,13,243,391,62.1,2839,20,5.1,12,3.1,7.3,6.9,11.7,218.4,133.9,
47,Will Levis*,Kentucky,SEC,13,233,353,66,2827,24,6.8,13,3.7,8,7.71,12.1,217.5,148.3,
48,Max Johnson*,LSU,SEC,12,225,373,60.3,2814,27,7.2,6,1.6,7.5,8.27,12.5,234.5,144.4,
49,Jayden De Laura*,Washington State,Pac-12,12,227,359,63.2,2798,23,6.4,9,2.5,7.8,7.95,12.3,233.2,144.8,
50,Chevan Cordeiro,Hawaii,MWC,11,195,353,55.2,2793,17,4.8,11,3.1,7.9,7.47,14.3,253.9,131.4,
51,N'Kosi Perry,Florida Atlantic,CUSA,12,210,345,60.9,2771,20,5.8,7,2,8,8.28,13.2,230.9,143.4,
52,Emory Jones*,Florida,SEC,13,224,346,64.7,2734,19,5.5,13,3.8,7.9,7.31,12.2,210.3,141.7,
53,Jonah Johnson,New Mexico State,Ind,11,257,439,58.5,2709,10,2.3,8,1.8,6.2,5.81,10.5,246.3,114.2,
54,Chris Reynolds,Charlotte,CUSA,11,215,337,63.8,2684,26,7.7,9,2.7,8,8.31,12.5,244,150.8,
55,Chance Nolan*,Oregon State,Pac-12,13,204,318,64.2,2677,19,6,10,3.1,8.4,8.2,13.1,205.9,148.3,
56,K.J. Jefferson*,Arkansas,SEC,13,198,294,67.3,2676,21,7.1,4,1.4,9.1,9.92,13.5,205.8,164.7,
57,Brett Gabbert*,Miami (OH),MAC,10,178,299,59.5,2648,26,8.7,6,2,8.9,9.69,14.9,264.8,158.6,
58,Daniel Richardson*,Central Michigan,MAC,13,191,316,60.4,2633,24,7.6,6,1.9,8.3,9,13.8,202.5,151.7,
59,Rocky Lombardi*,Northern Illinois,MAC,13,200,343,58.3,2597,15,4.4,8,2.3,7.6,7.4,13,199.8,131.7,
60,Jaren Hall*,BYU,Ind,10,189,296,63.9,2583,20,6.8,5,1.7,8.7,9.32,13.7,258.3,156.1,
61,Cade McNamara*,Michigan,Big Ten,14,210,327,64.2,2576,15,4.6,6,1.8,7.9,7.97,12.3,184,141.9,
62,Matt McDonald,Bowling Green,MAC,12,236,393,60.1,2555,12,3.1,7,1.8,6.5,6.31,10.8,212.9,121.2,
63,Connor Bazelak*,Missouri,SEC,11,246,377,65.3,2548,16,4.2,11,2.9,6.8,6.29,10.4,231.6,130.2,
64,Drew Plitt*,Ball State,MAC,13,248,411,60.3,2541,18,4.4,6,1.5,6.2,6.4,10.2,195.5,123.8,
65,Chase Garbers,California,Pac-12,11,223,348,64.1,2533,16,4.6,8,2.3,7.3,7.16,11.4,230.3,135.8,
66,Cameron Rising*,Utah,Pac-12,13,204,321,63.6,2493,20,6.2,5,1.6,7.8,8.31,12.2,191.8,146.2,
67,Jake Bentley,South Alabama,Sun Belt,10,212,303,70,2476,17,5.6,8,2.6,8.2,8.11,11.7,247.6,151.8,
68,Dylan Morris,Washington,Pac-12,11,220,363,60.6,2458,14,3.9,12,3.3,6.8,6.06,11.2,223.5,123.6,
69,Layne Hatcher,Arkansas State,Sun Belt,11,201,342,58.8,2423,19,5.6,13,3.8,7.1,6.49,12.1,220.3,129,
70,Dorian Thompson-Robinson,UCLA,Pac-12,11,176,283,62.2,2409,21,7.4,6,2.1,8.5,9.04,13.7,219,153.9,
71,Michael Pratt,Tulane,American,12,189,328,57.6,2381,21,6.4,8,2.4,7.3,7.44,12.6,198.4,134.8,
72,Jayden Daniels*,Arizona State,Pac-12,13,197,301,65.4,2380,10,3.3,10,3.3,7.9,7.08,12.1,183.1,136.2,
73,Gunnar Holmberg,Duke,ACC,11,217,324,67,2358,7,2.2,8,2.5,7.3,6.6,10.9,214.4,130.3,
74,Tanner McKee,Stanford,Pac-12,10,206,315,65.4,2327,15,4.8,7,2.2,7.4,7.34,11.3,232.7,138.7,
75,Bo Nix*,Auburn,SEC,10,197,323,61,2293,11,3.4,3,0.9,7.1,7.36,11.6,229.3,130,
76,Dylan Hopkins*,UAB,CUSA,13,155,235,66,2274,18,7.7,7,3,9.7,9.87,14.7,174.9,166.6,
77,D.J. Uiagalelei*,Clemson,ACC,13,208,374,55.6,2246,9,2.4,10,2.7,6,5.28,10.8,172.8,108.7,
78,Gerry Bohanon*,Baylor,Big 12,12,173,275,62.9,2205,18,6.5,7,2.5,8,8.18,12.7,183.8,146.8,
79,Zach Calzada,Texas A&M,SEC,12,184,328,56.1,2185,17,5.2,9,2.7,6.7,6.46,11.9,182.1,123.7,
80,Kedon Slovis,USC,Pac-12,9,193,297,65,2153,11,3.7,8,2.7,7.2,6.78,11.2,239.2,132.7,
81,Casey Thompson,Texas,Big 12,12,165,261,63.2,2113,24,9.2,9,3.4,8.1,8.38,12.8,176.1,154.7,
82,Skylar Thompson*,Kansas State,Big 12,10,162,233,69.5,2113,12,5.2,4,1.7,9.1,9.33,13,211.3,159.3,
83,DeQuan Finn*,Toledo,MAC,13,144,250,57.6,2071,18,7.2,2,0.8,8.3,9.36,14.4,159.3,149.3,
84,Max Duggan,Texas Christian,Big 12,10,145,227,63.9,2048,16,7,6,2.6,9,9.24,14.1,204.8,157.6,
85,Tanner Morgan*,Minnesota,Big Ten,13,149,250,59.6,2044,10,4,9,3.6,8.2,7.36,13.7,157.2,134.3,
86,Austin Aune*,North Texas,CUSA,13,151,295,51.2,1991,9,3.1,9,3.1,6.7,5.99,13.2,153.2,111.8,
87,Braxton Burmeister*,Virginia Tech,ACC,12,142,255,55.7,1960,14,5.5,4,1.6,7.7,8.08,13.8,163.3,135.2,
88,Graham Mertz*,Wisconsin,Big Ten,13,169,284,59.5,1958,10,3.5,11,3.9,6.9,5.86,11.6,150.6,121.3,
89,Hayden Wolff*,Old Dominion,CUSA,10,159,253,62.8,1933,10,4,7,2.8,7.6,7.19,12.2,193.3,134.5,
90,Caleb Williams*,Oklahoma,Big 12,11,136,211,64.5,1912,21,10,4,1.9,9.1,10.2,14.1,173.8,169.6,
91,Timmy Mcclain,South Florida,American,11,145,262,55.3,1888,5,1.9,7,2.7,7.2,6.39,13,171.6,116.8,
92,Austin Kendall,Louisiana Tech,CUSA,7,148,244,60.7,1884,13,5.3,9,3.7,7.7,7.13,12.7,269.1,135.7,
93,Spencer Petras*,Iowa,Big Ten,12,165,288,57.3,1880,10,3.5,9,3.1,6.5,5.82,11.4,156.7,117.3,
94,Kyle Vantrease,Buffalo,MAC,10,160,261,61.3,1836,8,3.1,6,2.3,7,6.61,11.5,183.6,125.9,
95,Noah Vedral*,Rutgers,Big Ten,13,180,303,59.4,1823,7,2.3,7,2.3,6,5.44,10.1,140.2,112.9,
96,Kurtis Rourke,Ohio,MAC,10,169,259,65.3,1801,11,4.2,7,2.7,7,6.59,10.7,180.1,132.3,
97,Mikey Keene*,UCF,American,11,173,272,63.6,1730,17,6.3,6,2.2,6.4,6.62,10,157.3,133.2,
98,Darren Grainger*,Georgia State,Sun Belt,13,136,228,59.6,1715,19,8.3,4,1.8,7.5,8.4,12.6,131.9,146.8,
99,Nick Starkel,San Jose State,MWC,7,128,248,51.6,1645,9,3.6,7,2.8,6.6,6.09,12.9,235,113.7,
100,Jake Constantine,Rice,CUSA,8,126,206,61.2,1622,8,3.9,7,3.4,7.9,7.12,12.9,202.8,133.3,
101,Gunnar Watson,Troy,Sun Belt,8,140,228,61.4,1613,8,3.5,4,1.8,7.1,6.99,11.5,201.6,128.9,
102,Will Plummer,Arizona,Pac-12,10,155,267,58.1,1610,6,2.2,9,3.4,6,4.96,10.4,161,109.4,
103,Cameron Friel,Nevada-Las Vegas,MWC,9,141,226,62.4,1608,6,2.7,11,4.9,7.1,5.46,11.4,178.7,121.2,
104,Brendon Lewis,Colorado,Pac-12,12,149,257,58,1540,10,3.9,3,1.2,6,6.25,10.3,128.3,118.8,
105,Jordan Travis,Florida State,ACC,10,122,194,62.9,1539,15,7.7,6,3.1,7.9,8.09,12.6,153.9,148.9,
106,Brady McBride,Texas State,Sun Belt,7,146,243,60.1,1512,12,4.9,10,4.1,6.2,5.36,10.4,216,120.4,
107,Spencer Rattler*,Oklahoma,Big 12,9,140,187,74.9,1483,11,5.9,5,2.7,7.9,7.9,10.6,164.8,155.5,
108,Jeff Sims,Georgia Tech,ACC,8,113,188,60.1,1468,12,6.4,7,3.7,7.8,7.41,13,183.5,139.3,
109,Garrett Shrader,Syracuse,ACC,12,123,234,52.6,1445,9,3.8,4,1.7,6.2,6.18,11.7,120.4,113.7,
110,Lucas Johnson*,San Diego State,MWC,13,138,223,61.9,1424,12,5.4,4,1.8,6.4,6.65,10.3,109.5,129.7,
111,Jaxson Dart,USC,Pac-12,6,117,189,61.9,1353,9,4.8,5,2.6,7.2,6.92,11.6,225.5,132.5,
112,James Blackman,Arkansas State,Sun Belt,8,109,183,59.6,1344,8,4.4,4,2.2,7.3,7.23,12.3,168,131.3,
113,Chase Cunningham*,Middle Tennessee State,CUSA,8,110,176,62.5,1318,16,9.1,3,1.7,7.5,8.54,12,164.8,152,
114,Chandler Rogers,Louisiana-Monroe,Sun Belt,12,112,179,62.6,1311,9,5,3,1.7,7.3,7.58,11.7,109.3,137.3,
115,Henry Colombi*,Texas Tech,Big 12,7,96,149,64.4,1291,5,3.4,5,3.4,8.7,7.83,13.4,184.4,141.6,
116,Zach Gibson,Akron,MAC,7,109,157,69.4,1262,10,6.4,0,0,8,9.31,11.6,180.3,158,
117,Jason Bean,Kansas,Big 12,11,102,182,56,1252,6,3.3,6,3.3,6.9,6.05,12.3,113.8,118.1,
118,Taylor Powell,Troy,Sun Belt,6,125,189,66.1,1251,7,3.7,6,3.2,6.6,5.93,10,208.5,127.6,
119,D'Wan Mathis,Temple,American,7,116,195,59.5,1225,6,3.1,4,2.1,6.3,5.97,10.6,175,118.3,
120,Steven Krajewski,Connecticut,Ind,11,121,230,52.6,1221,7,3,10,4.3,5.3,3.96,10.1,111,98.5,
121,Dennis Grosel,Boston College,ACC,8,111,192,57.8,1216,6,3.1,7,3.6,6.3,5.32,11,152,114,
122,Haaziq Daniels*,Air Force,MWC,12,52,104,50,1184,7,6.7,3,2.9,11.4,11.43,22.8,98.7,162.1,
123,Donovan Smith*,Texas Tech,Big 12,11,85,138,61.6,1181,7,5.1,2,1.4,8.6,8.92,13.9,107.4,147.3,
124,Ken Seals,Vanderbilt,SEC,8,127,224,56.7,1181,5,2.2,8,3.6,5.3,4.11,9.3,147.6,101.2,
125,Brandon Peters,Illinois,Big Ten,10,91,169,53.8,1170,7,4.1,4,2.4,6.9,6.69,12.9,117,120.9,
126,Brady Olson,Massachusetts,Ind,9,104,216,48.1,1145,8,3.7,7,3.2,5.3,4.58,11,127.2,98.4,
127,Sean Chambers*,Wyoming,MWC,9,90,177,50.8,1125,6,3.4,7,4,6.4,5.25,12.5,125,107.5,
128,Terry Wilson,New Mexico,MWC,6,101,174,58,1058,7,4,4,2.3,6.1,5.85,10.5,176.3,117.8,
129,Nicholas Vattiato*,Middle Tennessee State,CUSA,6,115,171,67.3,1047,7,4.1,6,3.5,6.1,5.36,9.1,174.5,125.2,
130,Mike Wright,Vanderbilt,SEC,10,93,175,53.1,1042,8,4.6,6,3.4,6,5.33,11.2,104.2,111.4,
131,Levi Williams*,Wyoming,MWC,9,72,120,60,990,9,7.5,5,4.2,8.3,7.88,13.8,110,145.7,
132,Ryan Hilinski,Northwestern,Big Ten,9,95,176,54,978,3,1.7,4,2.3,5.6,4.88,10.3,108.7,101.7,
133,Justin Tomlin,Georgia Southern,Sun Belt,8,74,143,51.7,977,2,1.4,9,6.3,6.8,4.28,13.2,122.1,101.2,
134,Luke Doty*,South Carolina,SEC,6,86,143,60.1,975,5,3.5,3,2.1,6.8,6.57,11.3,162.5,124.8,
135,Carter Bradley*,Toledo,MAC,8,77,130,59.2,972,4,3.1,1,0.8,7.5,7.75,12.6,121.5,130.7,
136,Nick Nash,San Jose State,MWC,11,74,138,53.6,971,6,4.3,3,2.2,7,6.93,13.1,88.3,122.7,
137,AJ Mayer*,Miami (OH),MAC,7,68,125,54.4,947,6,4.8,2,1.6,7.6,7.82,13.9,135.3,130.7,
138,Michael Penix Jr.,Indiana,Big Ten,5,87,162,53.7,939,4,2.5,7,4.3,5.8,4.35,10.8,187.8,101.9,
139,Phil Jurkovec,Boston College,ACC,6,52,96,54.2,915,7,7.3,4,4.2,9.5,9.11,17.6,152.5,150,
140,Jordan Yates,Georgia Tech,ACC,8,91,153,59.5,908,6,3.9,3,2,5.9,5.84,10,113.5,118.3,
141,Demarcus Irons Jr.,Akron,MAC,8,78,120,65,892,8,6.7,4,3.3,7.4,7.27,11.4,111.5,142.8,
142,Tyler Shough*,Texas Tech,Big 12,4,64,92,69.6,872,6,6.5,3,3.3,9.5,9.32,13.6,218,164.2,
143,Jack Plummer*,Purdue,Big Ten,9,87,127,68.5,864,7,5.5,0,0,6.8,7.91,9.9,96,143.8,
144,Jalon Daniels,Kansas,Big 12,6,81,117,69.2,860,7,6,3,2.6,7.4,7.39,10.6,143.3,145.6,
145,D.J. Mack Jr.*,Old Dominion,CUSA,7,86,167,51.5,859,5,3,7,4.2,5.1,3.86,10,122.7,96.2,
146,Jake Lange,Southern Mississippi,CUSA,7,79,137,57.7,843,5,3.6,6,4.4,6.2,4.91,10.7,120.4,112.6,
147,Justin Lynch,Temple,American,11,88,154,57.1,839,4,2.6,4,2.6,5.4,4.8,9.5,76.3,106.3,
148,Jordon Brookshire*,San Diego State,MWC,6,62,122,50.8,830,3,2.5,1,0.8,6.8,6.93,13.4,138.3,114.4,
149,TJ Finley*,Auburn,SEC,9,70,128,54.7,827,6,4.7,1,0.8,6.5,7.05,11.8,91.9,122.9,
150,Dillon Gabriel*,UCF,American,3,70,102,68.6,814,9,8.8,3,2.9,8,8.42,11.6,271.3,158.9,
151,Tyler Vitt,Texas State,Sun Belt,6,76,142,53.5,801,3,2.1,2,1.4,5.6,5.43,10.5,133.5,105.1,
152,Rhett Rodriguez,Louisiana-Monroe,Sun Belt,6,70,137,51.1,799,4,2.9,3,2.2,5.8,5.43,11.4,133.2,105.3,
153,Baylor Romney*,BYU,Ind,5,56,80,70,779,6,7.5,0,0,9.7,11.24,13.9,155.8,176.5,
154,McKenzie Milton,Florida State,ACC,6,81,139,58.3,775,3,2.2,6,4.3,5.6,4.06,9.6,129.2,103.6,
155,Christian Anderson*,Army,Ind,12,34,67,50.7,773,5,7.5,0,0,11.5,13.03,22.7,64.4,172.3,
156,D'Eriq King,Miami (FL),ACC,3,81,122,66.4,767,3,2.5,4,3.3,6.3,5.3,9.5,255.7,120.8,
157,Jacob Sirmon*,Central Michigan,MAC,5,73,119,61.3,734,6,5,4,3.4,6.2,5.66,10.1,146.8,123.1,
158,JT Daniels*,Georgia,SEC,6,68,94,72.3,722,7,7.4,3,3.2,7.7,7.73,10.6,120.3,155.1,
159,Jason Brown*,South Carolina,SEC,7,60,108,55.6,721,8,7.4,6,5.6,6.7,5.66,12,103,125,
160,Chandler Morris,Texas Christian,Big 12,4,50,75,66.7,717,3,4,0,0,9.6,10.36,14.3,179.3,160.2,
161,Matt Myers,Buffalo,MAC,10,57,104,54.8,711,4,3.8,5,4.8,6.8,5.44,12.5,71.1,115.3,
162,Andrew Marty,Northwestern,Big Ten,7,66,110,60,707,6,5.5,6,5.5,6.4,5.06,10.7,101,121.1,
163,Artur Sitkowski,Illinois,Big Ten,5,74,148,50,704,6,4.1,2,1.4,4.8,4.96,9.5,140.8,100.6,
164,Zeb Noland*,South Carolina,SEC,7,53,95,55.8,690,7,7.4,1,1.1,7.3,8.26,13,98.6,139,
165,Alex Padilla*,Iowa,Big Ten,9,55,112,49.1,636,2,1.8,2,1.8,5.7,5.23,11.6,70.7,99.1,
166,Aaron Allen,Louisiana Tech,CUSA,7,50,77,64.9,620,2,2.6,4,5.2,8.1,6.23,12.4,88.6,130.8,
167,Brayden Schager,Hawaii,MWC,6,65,107,60.7,615,2,1.9,5,4.7,5.7,4.02,9.5,102.5,105.9,
168,Blake Shapen*,Baylor,Big 12,6,62,86,72.1,596,5,5.8,0,0,6.9,8.09,9.6,99.3,149.5,
169,Desmond Trotter,South Alabama,Sun Belt,5,61,104,58.7,596,5,4.8,3,2.9,5.7,5.39,9.8,119.2,116.9,
170,Hudson Card,Texas,Big 12,8,51,83,61.4,590,5,6,1,1.2,7.1,7.77,11.6,73.8,138.6,
171,Brady Cook*,Missouri,SEC,6,74,93,79.6,588,3,3.2,0,0,6.3,6.97,7.9,98,143.3,
172,Jace Ruder*,North Texas,CUSA,8,53,98,54.1,571,3,3.1,5,5.1,5.8,4.14,10.8,71.4,102.9,
173,JD Head,Louisiana Tech,CUSA,4,47,88,53.4,559,6,6.8,3,3.4,6.4,6.18,11.9,139.8,122.5,
174,Gunner Cruz,Arizona,Pac-12,5,61,93,65.6,536,2,2.2,3,3.2,5.8,4.74,8.8,107.2,114.6,
175,Anthony Richardson*,Florida,SEC,8,38,64,59.4,529,6,9.4,5,7.8,8.3,6.63,13.9,66.1,144.1,
176,J.J. McCarthy*,Michigan,Big Ten,11,34,59,57.6,516,5,8.5,2,3.4,8.7,8.92,15.2,46.9,152.3,
177,Dino Maldonado,New Mexico State,Ind,2,37,66,56.1,513,4,6.1,2,3,7.8,7.62,13.9,256.5,135.3,
178,Cam Ransom,Georgia Southern,Sun Belt,9,39,83,47,494,3,3.6,0,0,6,6.67,12.7,54.9,108.9,
179,Charlie Brewer*,Utah,Pac-12,3,48,79,60.8,484,3,3.8,3,3.8,6.1,5.18,10.1,161.3,117.2,
180,Bryce Carpenter*,Coastal Carolina,Sun Belt,11,41,69,59.4,483,4,5.8,1,1.4,7,7.51,11.8,43.9,134.5,
181,Jordan McCloud,Arizona,Pac-12,3,48,73,65.8,481,2,2.7,5,6.8,6.6,4.05,10,160.3,116.4,
182,Donaven McCulley,Indiana,Big Ten,7,35,82,42.7,475,2,2.4,2,2.4,5.8,5.18,13.6,67.9,94.5,
183,Justin Rogers,Nevada-Las Vegas,MWC,6,33,59,55.9,475,3,5.1,2,3.4,8.1,7.54,14.4,79.2,133.6,
184,Bailey Hockman*,Middle Tennessee State,CUSA,4,41,66,62.1,463,4,6.1,2,3,7,6.86,11.3,115.8,135,
185,Tai Lavatai,Navy,American,10,34,61,55.7,449,5,8.2,2,3.3,7.4,7.52,13.2,44.9,138.1,
186,Kato Nelson,Akron,MAC,5,36,69,52.2,445,3,4.3,1,1.4,6.4,6.67,12.4,89,117.8,
187,Hunter Johnson,Northwestern,Big Ten,3,45,75,60,424,4,5.3,4,5.3,5.7,4.32,9.4,141.3,114.4,
188,Jack Tuttle,Indiana,Big Ten,6,45,87,51.7,423,2,2.3,5,5.7,4.9,2.74,9.4,70.5,88.7,
189,Kyle McCord*,Ohio State,Big Ten,5,25,38,65.8,416,2,5.3,2,5.3,10.9,9.63,16.6,83.2,164.6,
190,Andrew Peasley*,Utah State,MWC,10,28,51,54.9,415,3,5.9,2,3.9,8.1,7.55,14.8,41.5,134.8,
191,Wiley Green,Rice,CUSA,4,36,55,65.5,414,4,7.3,3,5.5,7.5,6.53,11.5,103.5,141.8,
192,Tyler Johnston III*,UAB,CUSA,6,27,49,55.1,408,2,4.1,3,6.1,8.3,6.39,15.1,68,126.3,
193,Tyler Lytle,Massachusetts,Ind,2,29,59,49.2,394,1,1.7,1,1.7,6.7,6.25,13.6,197,107.5,
194,Tommy Devito,Syracuse,ACC,3,32,52,61.5,388,1,1.9,2,3.8,7.5,6.12,12.1,129.3,122.9,
195,Shane Illingworth*,Oklahoma State,Big 12,3,28,50,56,385,3,6,1,2,7.7,8,13.8,128.3,136.5,
196,Cornelious Brown*,Georgia State,Sun Belt,5,42,81,51.9,384,0,0,4,4.9,4.7,2.52,9.1,76.8,81.8,
197,Riley Leonard,Duke,ACC,7,37,62,59.7,381,1,1.6,1,1.6,6.1,5.74,10.3,54.4,113.4,
198,Joe Milton*,Tennessee,SEC,8,32,61,52.5,375,2,3.3,0,0,6.1,6.8,11.7,46.9,114.9,
199,James Foster,Charlotte,CUSA,5,31,56,55.4,364,1,1.8,1,1.8,6.5,6.05,11.7,72.8,112.3,
200,Ty Keyes,Southern Mississippi,CUSA,4,33,65,50.8,355,3,4.6,4,6.2,5.5,3.62,10.8,88.8,99.6,
201,Armani Rogers,Ohio,MAC,12,29,49,59.2,350,0,0,1,2,7.1,6.22,12.1,29.2,115.1,
202,Will Howard*,Kansas State,Big 12,6,30,55,54.5,332,1,1.8,1,1.8,6,5.58,11.1,55.3,107.6,
203,Garrett Nussmeier*,LSU,SEC,4,29,57,50.9,329,2,3.5,2,3.5,5.8,4.89,11.3,82.3,103.9,
204,Jabari Laws*,Army,Ind,7,21,28,75,327,4,14.3,0,0,11.7,14.54,15.6,46.7,220.2,
205,Jack Zergiotis,Connecticut,Ind,3,38,86,44.2,325,3,3.5,5,5.8,3.8,1.86,8.6,108.3,75.8,
206,Tyler Phommachanh,Connecticut,Ind,3,35,72,48.6,321,1,1.4,2,2.8,4.5,3.49,9.2,107,85.1,
207,Doug Brumfield,Nevada-Las Vegas,MWC,3,17,39,43.6,320,2,5.1,1,2.6,8.2,8.08,18.8,106.7,124.3,
208,Logan Smothers,Nebraska,Big Ten,6,23,33,69.7,317,0,0,1,3,9.6,8.24,13.8,52.8,144.3,
209,Luke McCaffrey,Rice,CUSA,9,31,62,50,313,2,3.2,4,6.5,5,2.79,10.1,34.8,90.1,
210,Ethan Garbers,UCLA,Pac-12,12,31,51,60.8,305,2,3.9,2,3.9,6,5,9.8,25.4,116.1,
