Rk,Player,Team,Conf,G,Receiving_Rec,Receiving_Yds,Receiving_Yards_Per_Rec,Receiving_TD,Receiving_Yards_Per_Game,Rushing_Att,Rushing_Yds,Rushing_Yards_Per_Att,Rushing_TD,Rushing_Yards_Per_Game,Scrimmage_Plays,Scrimmage_Yds,Scrimmage_Yards_Per_Play,Scrimmage_TD,Awards
504,Cam Barfield*,Hawaii,MWC,13,27,257,9.5,3,19.8,80,371,4.6,4,28.5,107,628,5.9,7,
505,Ethan Davis*,Tennessee,SEC,9,21,257,12.2,2,28.6,0,0,,0,0,21,257,12.2,2,
506,Jamal Haynes*,Georgia Tech,ACC,13,33,257,7.8,0,19.8,124,531,4.3,5,40.8,157,788,5,5,
507,Luke Reynolds*,Penn State,Big Ten,13,26,257,9.9,0,19.8,2,26,13,0,2,28,283,10.1,0,
508,Max Patterson*,Delaware,CUSA,13,19,257,13.5,3,19.8,0,0,,0,0,19,257,13.5,3,
509,Ezekial Avit*,Fresno State,MWC,12,28,255,9.1,0,21.3,1,10,10,0,0.8,29,265,9.1,0,
510,Kaleb Brown,UAB,American,9,17,255,15,2,28.3,1,5,5,0,0.6,18,260,14.4,2,
511,LJ Martin*,BYU,Big 12,13,36,255,7.1,0,19.6,236,1305,5.5,12,100.4,272,1560,5.7,12,
512,Adam Randall*,Clemson,ACC,13,36,254,7.1,3,19.5,168,814,4.8,10,62.6,204,1068,5.2,13,
513,Brett Norfleet*,Missouri,SEC,11,31,254,8.2,5,23.1,0,0,,0,0,31,254,8.2,5,
514,Dean Connors*,Houston,Big 12,13,34,254,7.5,3,19.5,200,977,4.9,6,75.2,234,1231,5.3,9,
515,Hayden Hansen,Florida,SEC,12,30,254,8.5,2,21.2,0,0,,0,0,30,254,8.5,2,
516,Noah Thomas,Georgia,SEC,13,16,254,15.9,4,19.5,0,0,,0,0,16,254,15.9,4,
517,Omari Evans*,Washington,Big Ten,11,17,254,14.9,1,23.1,1,14,14,0,1.3,18,268,14.9,1,
518,Cade Keith*,New Mexico,MWC,13,20,253,12.7,3,19.5,0,0,,0,0,20,253,12.7,3,
519,J'Mari Taylor*,Virginia,ACC,13,43,253,5.9,1,19.5,222,1062,4.8,14,81.7,265,1315,5,15,
520,Miles Kitselman*,Tennessee,SEC,11,26,253,9.7,2,23,1,2,2,0,0.2,27,255,9.4,2,
521,Ayden Williams*,Mississippi State,SEC,13,21,252,12,0,19.4,0,0,,0,0,21,252,12,0,
522,Bauer Sharp*,LSU,SEC,13,24,252,10.5,2,19.4,0,0,,0,0,24,252,10.5,2,
523,Matt Wagner*,Boise State,MWC,14,24,251,10.5,1,17.9,0,0,,0,0,24,251,10.5,1,
524,Charles Robertson*,Louisiana,Sun Belt,13,15,250,16.7,1,19.2,1,6,6,0,0.5,16,256,16,1,
525,Malik Sherrod*,Boise State,MWC,14,28,250,8.9,2,17.9,85,418,4.9,4,29.9,113,668,5.9,6,
526,Marlin Klein*,Michigan,Big Ten,11,24,248,10.3,1,22.5,0,0,,0,0,24,248,10.3,1,
527,Andrel Anthony*,Duke,ACC,11,26,246,9.5,5,22.4,0,0,,0,0,26,246,9.5,5,
